Skill,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
Scrum,What is the primary purpose of using Scrum in software development?,To manage data storage,To build user interfaces,To handle server-side logic,It depends on the specific use case of Scrum,D
Scrum,Which of the following is a key feature of Scrum?,Built-in machine learning algorithms,Strong community support and ecosystem,Hardware-level memory management,Native browser rendering,B
Scrum,"When debugging an application built with Scrum, which approach is most effective?",Using print statements exclusively,Utilizing dedicated Scrum debugging tools and profilers,Recompiling the kernel,Restarting the hardware,B
Scrum,How does Scrum typically handle configurations?,Hardcoded in the source code,Through environment variables and standard config files,Via a central database only,It does not require configuration,B
Scrum,Which of the following best describes the architecture pattern commonly associated with Scrum?,Monolithic only,Event-driven and modular,Peer-to-peer,Mainframe-based,B
Scrum,What is the recommended way to handle dependencies in a Scrum project?,Manual downloading of source files,Using the standard package manager for Scrum,Copy-pasting code snippets,Writing everything from scratch,B
Scrum,"In the context of Scrum, what does a typical build or deployment process involve?",Compiling to machine code directly,"Linting, testing, and packaging the code",Uploading via FTP,Burning to a CD,B
Scrum,Which of the following is a best practice for security when using Scrum?,Storing credentials in public repositories,Keeping dependencies updated and validating input,Disabling SSL/TLS,Running as root user,B
Scrum,What is a standard convention for organizing files in a Scrum repository?,Putting everything in one large file,Following community-accepted directory structures,Organizing files alphabetically,Using randomly generated file names,B
Scrum,How does Scrum integrate with other common tools in the tech stack?,Through standardized APIs and plugins,It operates completely in isolation,By replacing the operating system,Only via command-line arguments,A
Scrum,Which type of testing is most crucial when developing a complex application with Scrum?,Manual click-testing only,Automated unit and integration testing,A/B testing exclusively,Penetration testing only,B
Scrum,What is a main advantage of using Scrum over older legacy alternatives?,It is harder to learn,"Improved performance, scalability, or developer experience",It requires more server resources,It lacks documentation,B
Scrum,How does Scrum typically perform under high concurrency or heavy load?,It always crashes,It relies on specific architectural patterns to scale effectively,It ignores concurrent requests,It slows down the entire network,B
Scrum,Which of the following is the most common way developers interact with Scrum?,Through a graphical user interface only,"Via CLI, IDEs, and code editors",Using punch cards,Through voice commands,B
